artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine,accessionNumber
Gilding the Acrobats,Paul Cadmus,American,1904,1999,1935,Tempera and oil on Masonite,"H. 36-3/4, W. 18-1/2 inches (93.3 x 47 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",50.94.3
Figures in the Forest,Jerome Blum,American,1884,1956,1908,Oil on canvas,"H. 18-1/8, W. 14-7/8 inches (46.0 x 37.8 cm.)",Paintings,"Gift of Mrs. Frances Blum, 1966",66.7
Denise at Her Dressing Table,Mary Cassatt,American,1844,1926,0,Oil on canvas,32 7/8 x 27 1/8 in. (83.5 x 68.9 cm),Paintings,"Bequest of Gioconda King, 2004",2005.129
The Celadon Vase,Max Weber,MetDoesntKnow,1881,1961,1933,Oil on canvas,30 x 36in. (76.2 x 91.4cm) 36 1/2 x 42 1/2 x 1 5/8 in. (92.7 x 108 x 4.1 cm) (Frame),Paintings,"George A. Hearn Fund, 1934",34.66
Study Number 5 for Recollection of the Flood,Peter Blume,MetDoesntKnow,1906,1992,1968,Enamel on Masonite,"H. 16-1/8, W. 20-5/8 inches (sight) (41 x 52.4 cm.)",Paintings,"George A. Hearn Fund, 1996",1996.340
Docks on Sunday,Joseph De Martini,American,1896,1984,1941,Oil on canvas,"H. 24, W. 30 inches (61 x 76.2 cm.)",Paintings,"Gift of New York City W. P. A., 1943",43.47.6
Design for marble and glass mosaic font,Louis Comfort Tiffany,American,1848,1933,1915,"Watercolor, gouache, and graphite on off-white wove paper iginal matt",15 3/8 x 11 3/4 in. (39 x 29.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.233
London Music Hall,Everett Shinn,American,1876,1953,1918,Oil on canvas,10 x 12 in. (25.4 x 30.5 cm),Paintings,"George A. Hearn Fund, 1921",21.39
Still Life with Decoy,James Valerio,American,1938,0,1983,Oil on canvas,"H. 84, W. 100 inches (213.4 x 254 cm.)",Paintings,"Purchase, Lila Acheson Wallace Gift, 1985",1985.242
Vision from Oklahoma,John Tweddle,American,1938,0,1981,Oil on canvas,"H. 66-1/4, W. 96-3/4 inches (168.3 x 245.7 cm.)",Paintings,"Edith C. Blum Fund, 1983",1983.358
Colonel Richard Thomas,James Peale,American,1749,1831,1796,Watercolor on ivory in gold locket,Sight: 2 7/8 x 2 5/16 in. (7.3 x 5.9 cm),Paintings,"Maria DeWitt Jesup Fund, 1931",31.118
Untitled No. 3,Paul Sarkisian,American,1928,0,1980,"Acrylic, airbrush, and stencil on canvas","H. 79, W. 119 inches (200.7 x 302.3 cm.)",Paintings,"Gift of Frederick Weisman Foundation, 1983",1983.41
George Heathcote,Gilbert Stuart,American,1755,1828,1785,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),Paintings,"Gift of Heathcote Art Foundation, 1986",1986.264.1
Pungent Distances,Morris Louis,American,1912,1962,1961,Magna on canvas,91 1/4 x 59 1/4 in. (231.8 x 150.5 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",2006.32.40
Mrs. William Thomas,John Wesley Jarvis,MetDoesntKnow,1780,1840,1813,Oil on canvas,34 1/8 x 27 1/8 in. (86.5 x 68.7 cm),Paintings,"Bequest of Kate d'A. Bonner, 1962",62.183.1
The Street,Philip Guston,American,1913,1980,1977,Oil on canvas,69 x 110 3/4 in. (175.3 x 281.3 cm),Paintings,"Purchase, Lila Acheson Wallace and Mr. and Mrs. Andrew Saul Gifts, Gift of George A. Hearn, by exchange, and Arthur Hoppock Hearn Fund, 1983",1983.457
Mountain Scene,Albert Bierstadt,American,1830,1902,1890,Oil on paper,14 3/4 x 21 in. (37.5 x 53.3 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979",1979.490.2
Two Arab Women,John Singer Sargent,American,1856,1925,1905,Oil on canvas,21 x 25 1/4 in. (53.3 x 64.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",50.130.19
Sun Shower,Charles Melville Dewey,American,1849,1937,1912,Oil on canvas,36 3/4 x 52 3/8 in. (93.3 x 133 cm),Paintings,"Arthur Hoppock Hearn Fund, 1920",20.26
Design for trapezoidal panel,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache and graphite on paper mounted on board",Overall: 16 15/16 x 13 9/16 in. (43 x 34.4 cm) Other (Design): 14 7/16 x 12 5/16 in. (36.7 x 31.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.422
Waiter II,Matthew Weinstein,American,1964,0,1998,Photo screenprint on polyester with brush applied acrylic fabric dye,"H. 48, W. 48 in. (121.9 x 121.9 cm)",Paintings,"Purchase, Charles Cowles Gift, 1999",1999.354
Pictograph,Adolph Gottlieb,American,1903,1974,1948,"Gouache, oil pastel, ink, and graphite on paper","H. 18, W. 24 inches (45.7 x 61 cm.)",Drawings,"Purchase, Mr. and Mrs. Arthur Wiesenberger Fund, by exchange, 1994",1994.416
Mrs. William F. Milton,Abbott H. Thayer,American,1849,1921,1881,Oil on canvas,32 x 24 in. (81.3 x 61 cm),Paintings,"Gift of Mrs. William F. Milton, 1923",23.77.3
Untitled (CXXXII),Robert Courtright,American,1926,0,1978,Cut and pasted papers mounted on wood,Dia: 60-1/4 inches (153.4 cm.),Paintings,"Gift of Baron H. H. Thyssen-Bornemisza, 1980",1980.313
Landscape with Figures,Kenneth Hayes Miller,American,1876,1952,1914,Oil on canvas,"H. 20, W. 17 inches (50.8 x 43.2 cm.)",Paintings,"Gift of students and admirers of the artist, 1927",27.180
Thomas Storm,Ammi Phillips,MetDoesntKnow,1788,1865,1830,Oil on canvas,32 x 26 in. (81.3 x 66 cm),Paintings,"Bequest of Edgar William and Bernice Chrysler Garbisch, 1979",1980.360.1
Untitled (Head),Nicolas Carone,American,1917,2010,1951,"Enamel on paper, mounted on linen",21 1/4 x 18 1/4 in. (54 x 46.4 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",2006.32.8
John Brown,John Steuart Curry,American,1897,1946,1939,Oil on canvas,"H. 69, W. 45 inches (175.3 x 114.3 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",50.94.1
White Flag,Jasper Johns,American,1930,0,1955,"Encaustic, oil, newsprint, and charcoal on canvas",78 5/16 x 120 3/4in. (198.9 x 306.7cm),Paintings,"Purchase, Lila Acheson Wallace, Reba and Dave Williams, Stephen and Nan Swid, Roy R. and Marie S. Neuberger Foundation Inc., Louis and Bessie Adler Foundation Inc., Paula Cussi, Maria-Gaetana Matisse, The Barnett Newman Foundation, Jane and Robert Carroll, Eliot and Wilson Nolen, Mr. and Mrs. Derald H. Ruttenberg, Ruth and Seymour Klein Foundation Inc., Andrew N. Schiff, The Cowles Charitable Trust, The Merrill G. and Emita E. Hastings Foundation, John J. Roche, Molly and Walter Bareiss, Linda and Morton Janklow, Aaron I. Fleischman, and Linford L. Lougheed Gifts, and gifts from friends of the Museum; Kathryn E. Hurd, Denise and Andrew Saul, George A. Hearn, Arthur Hoppock Hearn, Joseph H. Hazen Foundation Purchase, and Cynthia Hazen Polsky and Leon B. Polsky Funds; Mayer Fund; Florene M. Schoenborn Bequest; Gifts of Professor and Mrs. Zevi Scharfstein and Himan Brown, and other gifts, bequests, and funds from various donors, by exchange, 1998",1998.329
Adult Funeral Procession,William P. Chappel,American,1800,1880,1870,Oil on slate paper,6 x 9 1/4 in. (15.2 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.489
Mary Ann Garrits,Frederick R. Spencer,American,1806,1875,1834,Oil on canvas,33 x 26 in. (83.8 x 66 cm),Paintings,"Gift of Mrs. Emma W. Englander, 1928",28.198.1
"Flowers, Fish, and Females",James Rosenquist,American,1933,0,1984,Oil on canvas,"H. 90-1/2, W. 287 inches (229.9 x 729.0 cm.)",Paintings,"Gift of Tom Margittai and Paul Kovi, 1995",1995.436
Cartoon,Sylvia Carewe,American,1914,1981,1960,Oil on canvas,"H. 63, W. 87 inches (160 x 221 cm.)",Paintings,"Gift of the designer, 1981",1981.502.2
Across the Campagna,George Inness,American,1825,1894,1872,"Watercolor, gouache, and graphite on off-white wove paper",6 13/16 x 10 5/16 in. (17.3 x 26.2 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",67.55.145
Little Girl with Flowers (Amelia Palmer),Charles Cromwell Ingham,MetDoesntKnow,1786,1863,1830,Oil on canvas,67 7/8 x 53 1/4 in. (172.4 x 135.3 cm),Paintings,"Gift of Courtlandt Palmer, 1950",50.220.1
Portiere,Louis Comfort Tiffany,American,1848,1933,1902,"Watercolor, gouache, and graphite on off-white wove paper mounted to a paper-faced board",Overall: 21 1/4 x 13 3/8 in. (54 x 34 cm) Design: 11 7/16 x 5 3/8 in. (29 x 13.7 cm),Drawings,"The Elisha Whittelsey Collection, The Elisha Whittesley Fund,1953",53.679.1825
"Coast Scene, Isles of Shoals",Childe Hassam,American,1859,1935,1901,Oil on canvas,24 7/8 x 30 1/8 in. (63.2 x 76.5 cm),Paintings,"Gift of George A. Hearn, 1909",09.72.6
Houses on a Barge,Helen Torr,American,1886,1967,1929,Oil on canvas,"H. 16, W. 21 inches (40.6 x 33.3 cm.)",Paintings,"Gift of Cynthia Hazen Polsky, 1988",1988.371.2
"Kenneth Callahan painting on cardboard, 1947",Kenneth Callahan,American,1905,1986,0,Painting,13 1/2 x 12 1/2 in. (34.3 x 31.8 cm),Paintings,"Bequest of Phyllis Massar, 2011",2012.136.948
Roses with a Glass Goblet and a Cast of Giovanni Bologna's Venus after the Bath,Julian Alden Weir,American,1852,1919,1884,"Pencil, watercolor, and gouache on paper",17 7/16 x 12 1/8 in. (44.3 x 30.8 cm),Drawings,"Jointly owned by The Metropolitan Museum of Art and Erving and Joyce Wolf, 1978",1978.21
"Sand Bank with Willows, Magnolia",William Morris Hunt,American,1824,1879,1877,Oil on canvas,24 x 42 in. (61 x 106.7 cm),Paintings,"Gift of Francis M. Weld, 1938",38.153
Verifying Dissonant Statistics,Randy Dudley,American,1950,0,1981,Oil on canvas,"H. 21-5/8, W. 27-5/8 inches (54.9 x 70.2 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1983",1983.123.1
From Jerusalem,John Singer Sargent,American,1856,1925,0,"Watercolor, gouache, and graphite on off-white wove paper",12 x 17 7/8 in. (30.5 x 45.4 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.45
"The Grandmother Tree, near Middletown, Long Island",William Rickarby Miller,MetDoesntKnow,1818,1893,1858,"Watercolor, gouache, and graphite on off-white wove paper",15 7/8 x 12 15/16 in. (40.3 x 32.9 cm),Drawings,"Gift of Mrs. A. M. Miller, 1893",93.24.2
"Western Civilization, Drawing #3",Viola Frey,American,1933,2004,1987,Charcoal and oil pastel on paper,"Overall: H. 45, W. 60 inches (114.3 x 152.4 cm.) 2 sheets, each:H. 44, W. 30 inches (111.8 x 76.2 cm.)",Drawings,"Gift of Hoffman Greenwald Family: Nancy Hoffman, Rebecca Hoffman Greenwald and Peter N. Greenwald, 1993",1993.494
"Panorama of Roman Campagna, Nov. 12, 1868 (from Sketchbook)",Jervis McEntee,American,1828,1891,1868,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",1982.217.3 recto
Dr. Scholl's Corns,Andy Warhol,American,1928,1987,1961,Casein and wax crayon on canvas,48 x 40 in. (121.9 x 101.6 cm),Paintings,"Gift of Halston, 1982",1982.505
Joseph Donaldson,Charles Willson Peale,American,1741,1827,1776,Watercolor on ivory in gold locket,1 3/8 x 1 1/8 in. (3.4 x 2.8 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.124
Adagio,Jack Tworkov,MetDoesntKnow,1900,1982,1953,Oil on canvas,"H. 80, W. 28 inches (198 x 71.1 cm.)",Paintings,"Anonymous Gift, 1955",55.82
The Last Moments of John Brown,Thomas Hovenden,MetDoesntKnow,1840,1895,1884,Oil on canvas,77 3/8 x 66 1/4 in. (196.5 x 168.3 cm),Paintings,"Gift of Mr. and Mrs. Carl Stoeckel, 1897",97.5
Menorah,Mark Podwal,American,1945,0,1995,Gouache and colored pencil on paper,"H. 14, W. 11-1/8 inches (35.6 x 28.3 cm.)",Drawings,"Purchase, Gift of 134 Artists, by exchange, 1996",1996.329.1
John and Louisa Stock,Joseph Whiting Stock,MetDoesntKnow,1815,1855,1845,Oil on canvas,50 1/4 x 40 in. (127.6 x 101.6 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1966",66.242.19
The Harp Player (A Solo),Kenyon Cox,American,1856,1919,1888,Oil on canvas,30 x 17 7/8 in. (76.2 x 45.4 cm),Paintings,"Rogers Fund, 1912",12.40
Portrait of the Marquis de Lafayette,William P. Babcock,MetDoesntKnow,1826,1899,1880,Oil on wood,5 x 5 3/4 in. (12.7 x 14.6 cm),Paintings,"Gift of William H. Huntington, 1883",83.2.337
Fay's Kitchen,Chuck Forsman,American,1944,0,1971,Oil on Masonite,"H. 29, W. 33 inches (73.7 x 83.8 cm)",Paintings,"Gift of Adam Baumgold, 1983",1983.583
Asmat Artisan,Lunda Hoyle Gill,MetDoesntKnow,0,0,0,"Canvas, paint",H x W: 10 x 12in. (25.4 x 30.5cm),Paper-Paintings,"Gift of Lunda Hoyle Gill in honor of Mr. and Mrs. William M. Beard, 1982",1982.483.1
Open Number 35 (Raw Umber),Robert Motherwell,American,1915,1991,1968,Polymer paint and charcoal on canvas,"H. 76, W. 144 inches (193 x 365.8 cm.)",Paintings,"Anonymous Gift, 1969",69.277.2
Dress Parade (from Sketchbook),James McNeill Whistler,American,1834,1903,1852,"Brown ink, gouache and graphite on greenish-brown wove paper",5 x 3 1/4 in. (12.7 x 8.3 cm),Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970",1970.121.18
Artist at Rest,Sally M. Avery,American,1905,2003,1963,Oil on canvas board,"H. 22, W. 28 inches (55.9 x 71.1 cm.)",Paintings,"Gift of the artist, 1990",1990.202
Francis Brinley,John Smibert,MetDoesntKnow,1688,1751,1729,Oil on canvas,50 x 39 1/4 in. (127 x 99.7 cm),Paintings,"Rogers Fund, 1962",62.79.1
Untitled (Head),Jim Dine,American,1935,0,1959,Oil on plaster over wire armature of electric fan,Diam.: 14 in. (35.6 cm) H: 10 in. (25.4 cm),Sculpture,"Gift of Stanley Posthorn, 2007",2007.534
Flag of Hudson Avenue No.2,Alan Shields,American,1944,2005,1976,Acrylic and thread on canvas,"H. 88, W. 90 inches (223.5 x 228.6 cm.)",Paintings,"Gift of Joel and Anne Ehrenkranz, 1984",1984.291
Still Life with Walnuts,George Grosz,MetDoesntKnow,1893,1959,1937,Oil on canvas board,"H. 24, W. 19-7/8 inches (61 x 50.5 cm.)",Paintings,"George A. Hearn Fund, 1939",39.48.2
"Chelsea Embankment, London",Hanns Skolle,American,1903,1988,1932,Oil on canvas,37.8 x 48.3 cm (14 7/8 x 19 in. ),Paintings,"Walker Evans Archive, 1994",1994.263.101
Allan Melville,John Rubens Smith,American,1775,1849,1810,"Watercolor, gouache, and graphite on smooth surfaced off-white wove paper",8 7/8 x 6 3/4 in. (22.5 x 17.1 cm),Drawings,"Bequest of Charlotte E. Hoadley, 1946",46.192.4
August,Charles Harold Davis,American,1856,1933,1908,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),Paintings,"Gift of George A. Hearn, 1909",09.72.3
Lady with the Rose (Charlotte Louise Burckhardt),John Singer Sargent,American,1856,1925,1882,Oil on canvas,84 x 44 3/4 in. (213.4 x 113.7 cm),Paintings,"Bequest of Valerie B. Hadden, 1932",32.154
The Mirror (Circus Dressing Room),Pavel Tchelitchew,MetDoesntKnow,1898,1957,1932,Oil on canvas,"H. 39-3/4, W. 32 inches (101 x 81.3 cm.)",Paintings,"Bequest of Mary Cushing Fosburgh, 1978",1979.135.25
The Grand Canyon: Head of the Old Hance Trail,Thomas Moran,MetDoesntKnow,1837,1926,1892,"Watercolor, pen and black ink, gouache, and graphite underdrawing on light gray wove paper",14 9/16 x 10 1/8 in. (37 x 25.7 cm),Drawings,"Purchase, Morris K. Jesup Fund and several members of The Chairman's Council Gifts, 2003",2003.421
Charles Wilkes,Gilbert Stuart,American,1755,1828,1794,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Bequest of Grace Wilkes, 1922",22.45.1
Study in a Wood,Daniel Huntington,American,1816,1906,1861,Oil on canvas,11 7/8 x 10 in. (30.2 x 25.4 cm),Paintings,"Bequest of Collis P. Huntington, 1900",25.110.42
Thomas Macdonough,Joseph Wood,MetDoesntKnow,1778,1830,1818,Oil on wood,9 7/8 x 6 3/4 in. (25.1 x 17.2 cm),Paintings,"Gift of Mrs. W. Murray Crane, 1949",49.146
Francis Lucas Waddell,John Vanderlyn,American,1775,1852,1837,Oil on canvas,25 1/4 x 21 in. (64.1 x 53.3 cm),Paintings,"Gift of Mrs. M. Howard Hoopes and Miss Grace H. Patterson, in memory of Miss Ann S. Stephens, 1919",19.18
Lilacs in a Window (Vase de Lilas a la Fenetre),Mary Cassatt,American,1844,1926,1883,Oil on canvas,24 3/16 x 20 1/8 in. (61.5 x 51.1 cm),Paintings,"Partial and Promised Gift of Mr. and Mrs. Douglas Dillon, 1997",1997.207
Mrs. Charles Cummings (Rebecca Pittard),Henry Inman,American,1801,1846,1825,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Maria DeWitt Jesup Fund, 2008",2008.69
House of Fire,James Rosenquist,American,1933,0,1981,Oil on canvas,78 x 198in. (198.1 x 502.9cm),Paintings,"Purchase, Arthur Hoppock Hearn Fund, George A. Hearn Fund and Lila Acheson Wallace Gift, 1982",1982.90.1a-c
Lincolnville Beach,Rackstraw Downes,MetDoesntKnow,1939,0,1977,Oil on canvas,"H. 12-1/4, W. 44-1/2 inches",Paintings,"Bequest of Douglas Dillon, 2003",2003.449
Baked Pears in Duane Park,William P. Chappel,American,1800,1880,1870,Oil on slate paper,6 x 9 1/8 in. (15.2 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.494
John Ludlow Morton,Nathaniel Rogers,American,1788,1844,1829,Watercolor on ivory,2 15/16 x 2 3/16 in. (7.5 x 5.5 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.165
"Folly Beach, Charleston, South Carolina",Edward Hopper,American,1882,1967,1929,"Watercolor, gouache and charcoal on paper","H. 13-7/8, W. 19-3/4 inches (35.2 x 50.2 cm.)",Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",1974.356.21
String Quartette,Jack Levine,American,1915,2010,1937,Tempera and oil on Masonite,"H. 47-1/2, W. 67-1/2 inches (120.7 x 171.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1942",42.156
Mrs. Samuel L. Waldo,Samuel Lovett Waldo,MetDoesntKnow,1783,1861,1826,Oil on wood,30 1/4 x 25 5/8 in. (76.8 x 65.1 cm),Paintings,"Amelia B. Lazarus Fund, 1922",22.217.2
Rosewood,Larry Poons,American,1937,0,1966,Oil on canvas,"H. 120, W. 160 inches (304.8 x 406.4 cm.)",Paintings,"Gift of Frederick Weisman Company, 1982",1982.337
James MacAlister (Sketch),Thomas Eakins,American,1844,1916,1895,Oil on canvas,14 1/4 x 10 1/4 in. (36.8 x 26 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",67.187.206
Marriage Stone,Theodoros Stamos,American,1922,1997,1948,Oil on Masonite,"H. 13-1/8, W. 32 inches (33.3 x 81.3 cm.)",Paintings,"Gift of Arthur and Carol Goldberg, 1977",1977.348.1
Relief,Bruce Boice,American,1941,0,1977,Oil on canvas,"H. 63, W. 54-1/4 inches (160 x 137.8 cm.)",Paintings,"George A. Hearn Fund and Arthur Hoppock Hearn Fund, 1978",1978.17
Design for church interior,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, pen and brown ink, graphite",26 3/4 x 34 1/4 in. (68 x 87 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.304
Innsbruck,John Singer Sargent,American,1856,1925,1871,Watercolor and gouache on off-white wove paper,Irregular: 11 1/8 x 15 3/8 in. (28.3 x 39.1 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.82f
Teeth,Jim Dine,American,1935,0,1961,Gouache on paper,"H. 20, W. 24 inches (50.8 x 61 cm)",Drawings,"Gift of Stanley Posthorn, 1992",1992.113.1
The Sortie Made by the Garrison of Gibraltar,John Trumbull,American,1756,1843,1789,Oil on canvas,71 x 107 in. (180.3 x 271.8 cm),Paintings,"Purchase, Pauline V. Fullerton Bequest; Mr. and Mrs. James Walter Carter and Mr. and Mrs. Raymond J. Horowitz Gifts; Erving Wolf Foundation and Vain and Harry Fish Foundation Inc. Gifts; Gift of Hanson K. Corning, by exchange; and Maria DeWitt Jesup and Morris K. Jesup Funds, 1976",1976.332
"The Life and Times of Sally Hemmings, Part II",Lee Jaffe,American,1950,0,1984,"Oil, silver, bronze and aluminum paint, $2 bills, wax, and sand on mirror and wood","H. 110, W. 120 inches (279.4 x 304.8 cm.)",Paintings,"George A. Hearn Fund, 1986",1986.105a-c
Wild Roses and Irises,John La Farge,American,1835,1910,1887,Gouache and watercolor on white wove paper,14 1/2 x 10 7/16 in. (36.8 x 26.5 cm),Drawings,"Gift of Priscilla A. B. Henderson, in memory of her grandfather, Russell Sturgis, a founder of The Metropolitan Museum of Art, 1950",50.113.3
Indian Composition,George L.K. Morris,American,1905,1975,1938,Oil and sand on canvas,"H. 69-3/4, W. 53-3/4 inches (177.2 x 136.5 cm.)",Paintings,"Gift of Jerry Leiber, 1985",1985.440.3
Yellow Man,Peter Schuyff,Dutch,1958,0,1984,Acrylic on canvas,"H. 90, W. 66 inches (22.8 x 167.6 cm.)",Paintings,"Gift of Barbara and Eugene Schwartz, 1988",1988.417.3
Green Venus,Pavel Tchelitchew,MetDoesntKnow,1898,1957,1928,Oil on canvas,"H. 32, W. 51 inches (81.3 x 129.5 cm.)",Paintings,"Gift of Mrs. R. Kirk Askew Jr., in memory of R. Kirk Askew Jr., 1975",1975.429
Wedding,Milton Resnick,MetDoesntKnow,1917,2004,1962,Oil on canvas,"H. 108-3/4, W. 102-5/8 inches (276.2 x 260.7 cm.)",Paintings,"Gift of Robert Miller, 1985",1985.182
Running In,Helen Miranda Wilson,American,1948,0,1989,Oil on Masonite,"H. 6, W. 11-1/4 inches (15.2 x 28.6 cm.)",Paintings,"Edith C. Blum Fund, 1989",1989.156.1
Sea and Gulls,John Marin,American,1870,1953,1942,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"Alfred Stieglitz Collection, 1949",49.70.230
The Seven Deadly Sins: Sloth,Paul Cadmus,American,1904,1999,1947,Egg tempera on Masonite,"H. 23-1/2, W. 11-1/2 inches (59.7 x 29.2 cm.)",Paintings,"Gift of Lincoln Kirstein, 1993",1993.87.3
View on the Catskill桬arly Autumn,Thomas Cole,American,1801,1848,1837,Oil on canvas,39 x 63 in. (99.1 x 160cm),Paintings,"Gift in memory of Jonathan Sturges by his children, 1895",95.13.3
Ernesta,Cecilia Beaux,American,1855,1942,1914,Oil on canvas,71 3/4 x 43 3/8 in. (182.2 x 110.2 cm),Paintings,"Arthur Hoppock Hearn Fund, 1915",15.82
Mount Chocorua and Lake,William Trost Richards,American,1833,1905,1873,"Watercolor, gouache, and graphite on gray-green wove paper",8 3/16 x 14 1/4 in. (20.8 x 36.2 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880",80.1.7
The Fish Bowl (Study for 'Phenomena'),Pavel Tchelitchew,MetDoesntKnow,1898,1957,1938,Gouache on board,"H. 21-1/4, W. 17-5/8 inches (54.0 x 44.8 cm.)",Paintings,"Gift of Constance Atwood Askew, in memory of R. Kirk Askew, Jr., 1974",1974.372
Portrait of a Gentleman,Archibald Robertson,MetDoesntKnow,1765,1835,0,Watercolor on ivory in gilded copper locket; hair reserve verso,2 1/8 x 1 3/4 in. (5.5 x 4.4 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.158
House Raising,William P. Chappel,American,1800,1880,1870,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.512
The Muse of Painting,John La Farge,American,1835,1910,1870,Oil on canvas,49 1/2 x 38 1/4 in. (125.7 x 97.2 cm),Paintings,"Gift of J. Pierpont Morgan and Henry Walters, 1909",09.176
Juke Joint,Benny Andrews,American,1930,2006,1998,"Torn and cut paper and textile, and oil on paper",30 x 22 3/4 in. (76.2 x 57.8 cm),Drawings,"Purchase, Gift of Hyman N. Glickstein, by exchange, 2001",2001.287.1
Design for memorial window,Frederick Wilson 1858-1932,MetDoesntKnow,1858,1932,1917,"Watercolor, gouache, pen, and black and light purplish-grey inks, graphite",21 5/8 x 15 3/16 in. (55 x 38.6 cm),Drawings,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",53.679.1823
Two Girls on a Lawn,John Singer Sargent,American,1856,1925,1889,Oil on canvas,21 1/8 x 25 1/4 in. (53.7 x 64.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",50.130.20
Mr. and Mrs. Chester Dale Dine Out,Guy P鑞e du Bois,American,1884,1958,1924,Oil on canvas,"H. 30, W. 40 inches (76.2 x 100.6 cm.)",Paintings,"Gift of Chester Dale, 1963",63.138.1
Portrait of a Gentleman,Joseph Wood,MetDoesntKnow,1778,1830,1810,Watercolor on ivory,3 x 2 3/8 in. (7.6 x 6 cm),Paintings,"Fletcher Fund, 1938",38.146.9
Josef de Jaudenes y Nebot,Gilbert Stuart,American,1755,1828,1794,Oil on canvas,50 3/4 x 39 3/4 in. (128.9 x 101 cm),Paintings,"Rogers Fund, 1907",07.75
Procession,May Stevens,American,1924,0,1983,Acrylic on canvas,"H. 78, W. 120 inches (198.1 x 304.8 cm.)",Paintings,"Gift of the artist and Patricia Hills, 1993",1993.266
Stephen Van Rensselaer,Chester,American,1792,1866,1828,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),Paintings,"Gift of Mrs. Goodhue Livingston, Sr., 1954",54.51
End of the Hunt,Dale Nichols,American,1904,1995,1934,Oil on canvas,30 1/4 x 40in. (76.8 x 101.6cm) 36 3/4 x 46 1/4 x 2 1/4 in. (93.3 x 117.5 x 5.7 cm) (Frame),Paintings,"Arthur Hoppock Hearn Fund, 1938",38.173
Mrs. Chase in Prospect Park,William Merritt Chase,American,1849,1916,1886,Oil on panel,13 3/4 x 19 5/8 in. (34.9 x 49.9 cm),Paintings,"Gift of Chester Dale, 1963",63.138.2
Mrs. Sylvanus Bourne,John Singleton Copley,American,1738,1815,1766,Oil on canvas,50 1/4 x 40 in. (127.6 x 101.6 cm),Paintings,"Morris K. Jesup Fund, 1924",24.79
Queen Victoria,Thomas Sully,American,1783,1872,1838,Oil on canvas,36 x 28 3/8 in. (91.4 x 71.5 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914",14.126.1
General Richard Montgomery,Charles Willson Peale,American,1741,1827,1786,Watercolor on ivory,1 3/4 x 1 5/16 in. (4.4 x 3.4 cm),Paintings,"Dale T. Johnson Fund, 2006",2006.235.126
